Year,Mine Name,Mine Status,Mine Type,Production (short tons),Average Employees,Labor Hours
2021,Gatliff Tipple,Active,Surface,0,15,"37,093"
2021,Gatliff Tipple,Active,Underground,0,9,"22,734"
2021,Shm 10,Active,Surface,"1,02,594",6,"14,414"
2021,Chm 48,Temporarily closed,Surface,"1,23,519",5,"14,321"
2021,King Mountain Mine,Permanently abandoned,Surface,299,12,"6,283"
2021,Josie No. 3,Active,Surface,"9,350",14,"30,277"
2021,Mosley Gap,Active,Surface,"32,498",19,"53,140"
2021,Five Forks Mine,Active,Surface,"3,00,093",34,"65,720"
2021,Cabin Run,Active,Surface,"2,22,063",17,"38,195"
2021,No 1 Strip,Active,Surface,"1,16,170",14,"30,845"
2021,Cobra No 1,Active,Surface,"40,529",10,"15,997"
2021,Job #3,Active,Surface,"3,30,270",35,"96,728"
2021,Carlos Surface,Active,Surface,"1,35,911",14,"33,504"
2021,Walker Mine,Temporarily closed,Surface,"9,721",1,841
2021,Bam 3 Auger,Temporarily closed,Surface,"7,865",3,"2,567"
2021,#1 Strip,Temporarily closed,Surface,"1,848",4,"7,738"
2021,Mettiki General,Active,Underground,0,38,"68,131"
2021,No. 1 Surface,Active,Surface,"23,228",4,"7,740"
2021,Casselman Mine,Active,Underground,"3,75,383",76,"1,81,183"
2021,Red Hills Mine,Active,Surface,"32,00,580",205,"4,27,484"
2021,Foster South,Active,Surface,"44,162",8,"10,294"
2021,Decker Mine,Active,Surface,"2,03,932",27,"46,439"
2021,Absaloka Mine,Active,Surface,"14,34,771",68,"1,13,708"
2021,Spring Creek Mine,Active,Surface,"1,30,95,744",273,"5,45,042"
2021,Wolf Mountain Coal-Spring Cree,Active,Surface,0,10,"15,852"
2021,Bull Mountains Mine No 1,Active,Underground,"72,46,554",245,"5,00,825"
2021,Savage Mine,Active,Surface,"1,00,409",7,"14,455"
2021,Rosebud Mine & Crusher/Conveyo,Active,Surface,"64,98,182",300,"5,63,058"
2021,El Segundo,Active,Surface,"36,58,667",217,"4,17,351"
2021,Navajo Mine,Active,Surface,"40,34,559",368,"6,89,836"
2021,San Juan Mine 1,Active,Underground,"15,72,266",235,"4,64,599"
2021,Falkirk Mine,Active,Surface,"78,84,031",428,"8,03,442"
2021,Beulah Mine,Active,Surface,"4,40,714",29,"57,223"
2021,Freedom Mine,Active,Surface,"1,25,84,181",435,"8,35,986"
2021,Coyote Creek Mine,Active,Surface,"20,17,958",110,"2,05,151"
2021,Center Mine,Active,Surface,"35,85,724",174,"3,14,485"
2021,Ccu Belmont Strip,Active,Surface,"2,78,432",34,"75,680"
2021,Century Mine,"Active, men working, not producing",Underground,"12,71,897",119,"2,73,639"
2021,Ccu Bellaire Dock,Active,Surface,0,5,"9,825"
2021,Ccu Bellaire Dock,Active,Underground,0,0,409
2021,Hopedale Mine,Active,Underground,"1,12,970",35,"89,972"
2021,Nelms Plant,Active,Underground,0,5,"8,884"
2021,Ccu Harrison Strip,Active,Surface,"96,862",16,"31,230"
2021,Ccu Sexton Strip,Active,Surface,"1,36,016",20,"43,415"
2021,Vail Mine,Active,Underground,"3,71,487",35,"75,225"
2021,Orange Strip,Active,Surface,"4,52,495",45,"1,13,660"
2021,Buckingham  Mine,Permanently abandoned,Underground,"24,564",12,"19,536"
2021,Stonecreek Mine,Temporarily closed,Surface,0,8,"11,167"
2021,Ccu Tuscarawas Strip,Active,Surface,"14,491",13,"24,906"
2021,Tusky Prep,Active,Underground,0,7,"14,876"
2021,Joshua Coal Company,Active,Surface,505,1,"1,067"
2021,Darmac No. 2 Mine,Permanently abandoned,Underground,"2,65,515",24,"39,837"
2021,Dutch Run Coal Preparation Pla,Active,Underground,0,18,"38,039"
2021,Dutch Run,Active,Underground,"2,86,742",28,"59,484"
2021,Parkwood Mine,Active,Underground,"1,98,042",34,"75,539"
2021,Barrett 2,Active,Surface,"18,377",11,"3,816"
2021,T J #1,Active,Surface,"1,362",1,94
2021,Epb Strip,Active,Surface,"17,037",9,"17,073"
2021,Laurel Sand And Stone Inc,Active,Surface,"1,10,849",12,"30,447"
2021,Madison Mine,Active,Underground,"5,59,618",65,"1,54,311"
2021,Portage Plant,Active,Underground,0,18,"46,760"
2021,Kellar #2,Temporarily closed,Surface,727,3,227
2021,Cresson,Active,Underground,"3,51,008",42,"1,00,027"
2021,3139,Active,Surface,"2,580",3,422
2021,Driscoll Hollow Mine,Active,Surface,"27,051",3,"7,372"
2021,Brown Mine,Permanently abandoned,Surface,"6,672",3,"1,362"
2021,Banks Bank,Active,Surface,0,9,"16,792"
2021,Spring Mountain Strip,Active,Surface,"46,966",10,"17,488"
2021,Ancient Sun Strip Saylor-Mckin,Active,Surface,"2,978",2,"2,400"
2021,Burns Farm,Active,Surface,"66,133",4,"6,700"
2021,Shankle Mine,"Active, men working, not producing",Surface,"11,971",6,"15,070"
2021,"River Hill Coal Co., Inc.",Active,Surface,"9,402",11,"14,421"
2021,Kasubick #4,"Active, men working, not producing",Surface,"1,868",2,"2,550"
2021,A W Long Coal Company,Active,Surface,616,1,546
2021,Reese No 1 & 2 Strip,Active,Surface,"1,220",2,"1,087"
2021,Waroquier #1,Active,Surface,529,4,"2,291"
2021,King #1,Active,Surface,"36,457",8,"16,300"
2021,Lady Jane Plant,Active,Underground,0,9,"19,090"
2021,Hoover Job,Active,Surface,"63,575",20,"48,687"
2021,Shawver Operation,Active,Surface,"10,259",3,"1,138"
2021,Laurel Ridge #1,Active,Surface,704,1,82
2021,"Bell Resources, Inc",Active,Surface,"16,912",10,"11,844"
2021,Finney Strips,Active,Surface,662,2,132
2021,Penfield Mine,Active,Underground,"1,34,950",19,"46,590"
2021,Harmony Mine,Active,Underground,"1,28,595",19,"45,985"
2021,Res Shawville,Active,Surface,"1,64,310",30,"76,396"
2021,Res Houtzdale,Active,Surface,"1,44,617",20,"51,238"
2021,Res Morrisdale,Active,Surface,"2,52,735",39,"1,06,507"
2021,Clearfield County Strips,Active,Surface,"2,394",3,386
2021,Beard Job,"Active, men working, not producing",Surface,17,1,2
2021,Horton Strips,Active,Surface,"15,192",5,"4,207"
2021,Conrail Tipple,Active,Surface,0,14,"36,350"
2021,Corbet South Mine,Active,Surface,"7,265",2,"1,357"
2021,Woolridge #4,Active,Surface,"17,522",7,"9,324"
2021,Auger 11,Temporarily closed,Surface,"3,805",3,422
2021,Morris Ridge Strip,Active,Surface,0,19,"37,626"
2021,Logan Surface Mine,Active,Surface,"78,998",34,"69,680"
2021,Rausch Creek Coal Preparation,Active,Surface,0,3,"5,532"
2021,Rausch Creek Coal Preparation,Active,Underground,0,3,"5,532"
2021,Williamstown Mine #1,Active,Underground,"9,056",7,"12,960"
2021,Wymps Gap Surface Coal Mine,Active,Surface,"1,229",3,"3,560"
2021,T & B Strip,Active,Surface,"15,253",3,"2,131"
2021,Fay Penn #1,Active,Surface,"2,648",1,"2,000"
2021,Tasara Strips,Active,Surface,"2,35,238",21,"52,403"
2021,Cumberland Mine,Active,Underground,"59,78,123",588,"11,82,850"
2021,Bailey Mine,Active,Underground,"1,17,53,022",702,"15,59,444"
2021,Harvey Mine,Active,Underground,"52,99,867",263,"5,80,120"
2021,Monongalia County Mine,"Active, men working, not producing",Underground,"19,92,063",167,"3,50,520"
2021,Clymer Prep Plant,Active,Underground,0,11,"20,573"
2021,Condor Mine,Active,Surface,"16,848",2,"3,264"
2021,Auger 3152,Active,Surface,"4,735",3,672
2021,Lowry Mine,Active,Underground,"1,17,436",18,"44,568"
2021,Barrett Mine,Active,Underground,"3,95,362",37,"88,921"
2021,Knob Creek,Active,Underground,"1,34,557",27,"65,273"
2021,Heilwood,Active,Underground,"1,72,271",27,"58,495"
2021,Brush Valley,Active,Underground,"6,70,920",61,"1,45,196"
2021,Coral-Graceton,"Active, men working, not producing",Underground,"1,49,682",14,"33,661"
2021,Crooked Creek Mine,Active,Underground,"7,16,402",58,"1,35,515"
2021,Crooked Creek Prep Plant,Active,Underground,0,11,"24,936"
2021,Worthville Mine,Active,Surface,"5,665",5,"9,637"
2021,Kocjancic,Active,Underground,"1,83,826",23,"53,455"
2021,Clinton Surface Mine,Active,Surface,"8,823",3,"1,603"
2021,Kassa Breaker,Active,Surface,0,4,"6,314"
2021,Kassa Breaker,Active,Underground,0,3,"6,314"
2021,Lattimer Division,Active,Surface,"59,771",28,"60,022"
2021,Laurel Breaker,Active,Surface,0,7,"13,741"
2021,Hazleton Shaft South,Active,Surface,"4,77,468",57,"1,34,053"
2021,Jeddo No 8 Preparation Plant,Active,Surface,0,11,"16,356"
2021,Stockton Mine,Active,Surface,"19,461",9,"22,154"
2021,Hazleton Shaft,Active,Surface,0,54,"1,25,493"
2021,Stockton Preparation Facility,Active,Surface,0,10,"18,729"
2021,Mountain Top Anthracite,Active,Surface,0,4,"7,568"
2021,Fisher Mining Company,Active,Surface,"1,27,512",26,"64,334"
2021,Oaks Plant,Active,Surface,0,2,"2,658"
2021,Oaks Plant,Active,Underground,0,2,"2,658"
2021,N & L Slope,Active,Underground,582,5,"4,766"
2021,Carbon Plant (Preparation),Active,Surface,0,26,"50,712"
2021,West Spring Energy,Active,Surface,"1,20,518",15,"28,175"
2021,West End,Active,Surface,"53,151",11,"23,150"
2021,Crystal Strip,Active,Surface,"10,692",2,"1,595"
2021,No 13 Slope,Permanently abandoned,Underground,538,2,776
2021,Mustang Stripping,Active,Surface,"11,639",8,"5,878"
2021,Trevorton Strip,Active,Surface,"58,109",7,"18,143"
2021,Locust Summit Strip Mine,Active,Surface,"42,979",9,"15,076"
2021,Atlas Anthracite Coal Corporat,Active,Surface,0,12,"16,059"
2021,Big Mountain Anthracite #1 Pit,Active,Surface,"6,048",1,"1,820"
2021,Greenwood,Active,Surface,0,54,"1,10,369"
2021,Tamaqua Mine,Active,Surface,"2,09,538",28,"58,902"
2021,Tamaqua Breaker,Active,Surface,0,5,"13,268"
2021,R S & W Drift,Active,Underground,"22,859",7,"8,045"
2021,K K Strip,Active,Surface,"6,782",3,"3,122"
2021,Buck Run P-8 P-10,Active,Surface,"1,20,621",20,"43,064"
2021,New St. Nicholas Breaker,Active,Surface,0,17,"37,905"
2021,Wadesville P-33,Active,Surface,"37,790",23,"30,709"
2021,Superior Coal Preparation Co-O,Active,Surface,0,2,"3,489"
2021,Superior Coal Preparation Co-O,Active,Underground,0,2,"3,489"
2021,Blaschak Breaker,Active,Surface,0,66,"1,33,340"
2021,Premium Fine Coal Inc,Active,Surface,0,5,"10,932"
2021,Eagle Hill Strip,Active,Surface,"15,047",2,"5,689"
2021,Tuscarora Breaker,Active,Surface,0,3,"5,538"
2021,E O J Strip Mine,Active,Surface,"18,363",3,"6,441"
2021,Brockton Stripping,Temporarily closed,Surface,"2,606",1,"1,810"
2021,Mid Port Strip,Active,Surface,629,3,"3,756"
2021,Serill Strip,Active,Surface,"3,811",3,"5,200"
2021,W M P I,Active,Surface,0,40,"77,427"
2021,Auburn Preparation Plant,Active,Surface,0,2,"4,088"
2021,Auburn Preparation Plant,Active,Underground,0,3,"4,089"
2021,Bell Corp,Active,Surface,"1,824",2,790
2021,Good Spring South,Active,Surface,"46,615",13,"2,812"
2021,Girard Breaker,Active,Surface,0,15,"32,486"
2021,Continental Strip,Active,Surface,"61,239",21,"50,047"
2021,No 5 Vein,Active,Underground,"5,534",6,"10,465"
2021,Rausch Creek Coal Preparation,Active,Surface,0,4,"5,496"
2021,Rausch Creek Coal Preparation,Active,Underground,0,3,"5,496"
2021,Ellangowan Stripping,Active,Surface,"2,03,390",17,"34,507"
2021,7 Ft Slope,"Active, men working, not producing",Underground,"2,788",4,"5,400"
2021,Kuperavage Ent Inc/Ta Tuscaror,Active,Surface,"13,727",4,"5,093"
2021,Jett #2 Stripping,"Active, men working, not producing",Surface,683,1,"1,164"
2021,Park Mine Coal Company,Active,Surface,"24,446",1,"2,176"
2021,Primrose Operation,Active,Surface,"1,56,677",26,"56,872"
2021,Selkirk 2,Active,Surface,"9,576",2,"1,340"
2021,Brownsville,Active,Surface,"57,825",10,"26,855"
2021,Slope #2,Active,Underground,"10,087",6,"11,255"
2021,Broad Mountain Slope,Permanently abandoned,Underground,"2,504",4,"6,240"
2021,Packer Strip,Permanently abandoned,Surface,"2,967",2,"2,020"
2021,Shm-82,Active,Surface,"1,33,920",4,"9,736"
2021,Mine No 1,Active,Surface,"1,27,398",53,"1,24,027"
2021,Shade Creek Plant,Active,Surface,0,1,"1,417"
2021,Shade Creek Plant,Active,Underground,0,20,"45,816"
2021,Cambria Fuel Plant,Active,Surface,0,3,"6,858"
2021,Cambria Fuel Plant,Active,Underground,0,14,"31,241"
2021,Fieg Bros Coal Co.,Active,Surface,"12,289",7,"11,930"
2021,Hardrock Coal Co.,Active,Surface,"1,784",1,"1,110"
2021,Kellar #1,Active,Surface,"3,067",3,749
2021,3163,Temporarily closed,Surface,940,3,144
2021,Mine 78,Active,Underground,"5,87,172",70,"1,72,857"
2021,Mine 78 Preparation Plant,Active,Underground,0,20,"36,420"
2021,Horning Deep Mine,Active,Underground,"1,90,102",48,"1,08,423"
2021,"Coal Loaders, Inc.",Active,Surface,"47,759",6,"13,836"
2021,Acosta Deep Mine,Active,Underground,"3,55,935",73,"1,74,750"
2021,Maple Springs Mine,Active,Underground,"1,26,663",35,"77,232"
2021,Laurel Plant,Active,Underground,0,11,"24,628"
2021,Mast Mine,Active,Surface,"2,85,457",57,"1,24,226"
2021,Solomon Run,Active,Surface,"1,71,675",10,"23,206"
2021,Craighead Mine,Active,Surface,"37,640",7,"16,460"
2021,Big Pine Mine,Active,Surface,"13,295",3,"5,204"
2021,Beachley Strip,Active,Surface,"17,841",2,"2,903"
2021,Langley Mine,Active,Surface,"46,602",9,"17,819"
2021,Scrubgrass Fuel Handling Facil,Active,Surface,0,7,"16,750"
2021,Scrubgrass Fuel Handling Facil,Active,Underground,0,7,"16,750"
